epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=22))","train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=22))","val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))"
24,2.7099809579207483,0.2559138536453247,0.02657236816298029,0.023277903003967735,inf,2.7189015969738666,0.25548461079597473,0.02138440694583109,0.014782396503037584,inf
25,2.7283343451748676,0.2522212266921997,0.030296868519132145,0.02260933360530581,inf,2.7344938921836266,0.32520660758018494,0.027368382518759567,0.02268555293655104,inf
26,2.7455887903896725,0.278413861989975,inf,0.021615052453220623,inf,2.78415528509792,0.37794890999794006,0.034053038967939805,0.023856929097128242,inf
27,2.7497250588979902,0.27593550086021423,inf,0.022208051884660567,inf,2.6678125203615415,0.3837715983390808,0.04064828280368044,0.03170412164138782,inf
28,2.7211488547076326,0.3054446876049042,inf,0.02423518024436928,inf,2.693690296482834,0.32017281651496887,0.028523429465530662,0.02411282891258199,inf
29,2.7354842535548882,0.2959480881690979,inf,0.023589369810940442,inf,2.7240529856513143,0.2702854871749878,inf,0.0317047267036642,inf
30,2.703680136024656,0.26736772060394287,0.025998208149079095,0.024781268719490875,inf,2.755580902797124,0.4006761908531189,0.022184824925328684,0.02016178754743863,inf
31,2.723927104849137,0.30761492252349854,inf,0.021622868046080535,inf,2.77511595945833,0.2117205113172531,0.017677458394475345,0.03044600574181588,inf
32,2.6800372636568173,0.3159652352333069,0.02570540242965338,0.023720558990732124,inf,2.6984295210304907,0.31461307406425476,0.034253744791262565,0.02298806658949535,inf
33,2.616930698796004,0.29456618428230286,inf,0.022477237414648726,inf,2.678449316667849,0.2361382395029068,inf,0.025487012039895635,inf
34,2.678948798511037,0.3163820505142212,inf,0.023268344557402593,inf,2.7266267364925025,0.2960931658744812,0.02420065328308059,0.023916433930305965,inf
35,2.6830625308572853,0.2902981638908386,inf,0.0237642364818964,inf,2.742422612371445,0.22092412412166595,0.02193750143961837,0.03035501362805698,inf
36,2.7131481550226697,0.2662939429283142,inf,0.02492024766668935,inf,2.6799943455428235,0.2920360565185547,0.028737932238713577,0.02478021260342405,inf
37,2.6919373267615057,0.3077508509159088,inf,0.02424382856006278,inf,2.7823074876845904,0.22806160151958466,0.023266765523084345,0.019867774636987696,inf
38,2.7056912588792636,0.28441718220710754,0.022681786686293046,0.023944176487964118,inf,2.769386020234493,0.26288503408432007,0.027802061998179344,0.021231258616727942,inf
39,2.695081090043098,0.29964977502822876,0.027760428757867495,0.02285001571477456,inf,2.73433312344407,0.24342599511146545,0.028412339157325973,0.02622853461980273,inf
40,2.671912609389411,0.30478769540786743,0.02611085796711472,0.023153035617259572,inf,2.6326964224605947,0.3504883646965027,0.02946647002188826,0.020242678290382426,inf
