epoch,train_loss,train_accuracy,"train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_ChainPrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))",val_loss,val_accuracy,"val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_ChainPrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))"
59,0.33781854336141287,0.7007803916931152,inf,inf,0.3774176646615857,inf,inf,0.2722309216439167,0.6935483813285828,inf,inf,0.3792073748936163,inf,inf
60,0.32367471309605045,0.7016722559928894,inf,inf,0.3983278330241408,inf,inf,0.2699681043485615,0.6935483813285828,inf,inf,0.3546475829365097,inf,inf
61,0.304305172745121,0.7027870416641235,inf,inf,inf,inf,inf,0.2712808122214313,0.6917562484741211,inf,inf,0.39441737950405226,inf,inf
62,0.3328769016210164,0.6981047987937927,inf,inf,0.4013770969114571,inf,inf,0.27093955024937605,0.6935483813285828,inf,inf,0.4027808893506772,0.7490945887342791,inf
63,0.32607831922142166,0.6878483891487122,inf,inf,0.3994190587061588,inf,inf,0.2709260869109742,0.6881720423698425,inf,inf,0.43194216434086596,inf,inf
64,0.32499017992936,0.70100337266922,inf,inf,0.3964140615730642,inf,inf,0.2700097935152388,0.6935483813285828,inf,inf,0.4081322322381991,0.7810030963933356,inf
65,0.32263629121496995,0.7023411393165588,inf,inf,inf,inf,inf,0.2680092520106619,0.7240143418312073,inf,inf,0.43067019453672606,inf,inf
66,0.3206657251369243,0.7021181583404541,inf,inf,0.40328559251589197,inf,inf,0.26823866910466526,0.6863799095153809,inf,inf,0.4140138626098633,inf,inf
67,0.3171386913413826,0.7007803916931152,inf,inf,0.3828974210213278,inf,inf,0.26679431382462243,0.6953405141830444,inf,inf,0.37904307106945,inf,inf
68,0.31812252211776154,0.7012262940406799,inf,inf,0.36054053707657574,inf,inf,0.2687154404610117,0.7240143418312073,inf,inf,0.4403592492932471,inf,inf
