epoch,train_loss,train_accuracy,"train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","train_ChainResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))",val_loss,val_accuracy,"val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","val_ChainResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))"
51,0.6644921816678511,0.4067460298538208,inf,inf,inf,inf,0.6877048532168071,0.41111111640930176,1.9754976484510633,2.0612576378716363,inf,inf
52,0.6651497264910076,0.4106481373310089,inf,inf,inf,inf,0.6831886710392104,0.3931216895580292,2.0036407046847873,2.364469952053494,inf,inf
53,0.6610372001305223,0.40720900893211365,inf,inf,inf,inf,0.6797026677264107,0.4185185134410858,1.8059591081407336,inf,inf,inf
54,0.6620649245257179,0.4057539701461792,inf,inf,inf,inf,0.6838458846012752,0.4195767343044281,inf,inf,inf,inf
55,0.6617089771976074,0.4037036895751953,inf,inf,inf,inf,0.6853273120191362,0.4227513372898102,1.6274734920925564,2.325238588121202,inf,inf
56,0.6618826396556364,0.40145501494407654,inf,inf,inf,inf,0.6795729481511645,0.41428571939468384,1.7095079633924697,inf,inf,inf
57,0.6614059774308569,0.4089947044849396,inf,inf,inf,inf,0.6791026054157151,0.4126984179019928,inf,inf,inf,inf
58,0.6594588359196981,0.4097883701324463,inf,inf,inf,inf,0.6791494440701272,0.4126984179019928,1.9371021694607204,inf,inf,inf
59,0.6582095142039988,0.41104498505592346,inf,inf,inf,inf,0.6779445173011885,0.4105820059776306,inf,inf,inf,inf
60,0.6592342784421311,0.40714284777641296,inf,inf,inf,inf,0.6819937537113826,0.4105820059776306,inf,inf,inf,inf
61,0.6590274418704212,0.41137567162513733,inf,inf,inf,inf,0.6784845251176093,0.4058201014995575,inf,inf,inf,inf
62,0.6580289820726547,0.4048280417919159,inf,inf,inf,inf,0.6812834272782008,0.4185185134410858,1.5816066318088107,inf,inf,inf
