epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))"
42,0.7173349007550213,0.4005952477455139,inf,0.0018771873580084907,inf,inf,inf,0.7401432323786947,0.4105820059776306,inf,0.007545036739773221,inf,inf,inf
43,0.7183544535810749,0.402050256729126,inf,0.0028562400076124405,inf,inf,inf,0.7383169841435221,0.42010581493377686,inf,0.05474393632676866,inf,inf,inf
44,0.7132987895980477,0.4067460298538208,inf,0.0016128023465474446,inf,inf,inf,0.7356166334615813,0.41111111640930176,inf,0.019365384843614365,inf,inf,inf
45,0.7160797720878489,0.4019841253757477,inf,0.0025746093855963815,inf,inf,inf,0.7342632410426935,0.42592594027519226,inf,0.00041107601589626734,inf,inf,inf
46,0.7140326961668001,0.4027777910232544,inf,0.013562832938300238,inf,inf,inf,0.7332112100389269,0.4328042268753052,inf,0.01969769795735677,inf,inf,inf
47,0.7123485643106202,0.4021163880825043,inf,0.00642164945602417,inf,inf,inf,0.7339818430443604,0.41640210151672363,inf,0.03458663092719184,inf,inf,inf
48,0.7113385203190976,0.4048941731452942,inf,0.012237924999660916,inf,inf,inf,0.7304246814714538,0.4306878447532654,inf,0.013543902503119574,inf,inf,inf
49,0.7140839092536932,0.39920634031295776,inf,0.008129507965511746,inf,inf,inf,0.7310862017174562,0.42010581493377686,inf,0.00045842064751519095,inf,inf,inf
50,0.7084259234575762,0.4085978865623474,inf,0.014970371458265517,inf,inf,inf,0.7292854045000341,0.4253968298435211,inf,0.07637067370944553,inf,inf,inf
51,0.710876037625389,0.40628308057785034,inf,0.0053470810254414875,inf,inf,inf,0.7345540450678931,0.4343915283679962,inf,0.0008833567301432292,inf,inf,inf
52,0.7094242840694884,0.4045634865760803,inf,0.01832923690478007,inf,inf,inf,0.734797712498241,0.4105820059776306,inf,0.041929663552178274,inf,inf,inf
53,0.7099227035418153,0.4017195701599121,inf,0.027654924657609728,inf,inf,inf,0.7274838734004233,0.4296296238899231,inf,0.003842004140218099,inf,inf,inf
54,0.7083877764849199,0.40548941493034363,inf,0.009149997764163547,inf,inf,inf,0.7267054883970154,0.43386244773864746,inf,0.021398533715142144,inf,inf,inf
55,0.7072622482354443,0.4069444537162781,inf,0.005642784966362847,inf,inf,inf,0.7268541897336642,0.4306878447532654,inf,0.009901724921332466,inf,inf,inf
56,0.707881315652695,0.403769850730896,inf,0.016215181350708006,inf,inf,inf,0.7278388879365392,0.41111111640930176,inf,0.009223980373806423,inf,inf,inf
