epoch,train_loss,train_accuracy,"train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=3))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=5, count=1))",val_loss,val_accuracy,"val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=3))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=5, count=1))"
74,0.49014464324318086,0.2278260886669159,0.028131546563324984,0.3204142889466472,0.1591231914044236,0.03670475337217943,0.7163790796656866,0.23376622796058655,0.03236777919369775,0.4558713822751432,0.3199774844420923,0.04499874123044916
75,0.4766384376076972,0.25260868668556213,0.03269940085949436,0.3635121314756332,0.16474894109120394,0.040302586879309245,0.7208703512678275,0.23051947355270386,0.02423442411865737,0.48414869566221497,0.3084382489323616,0.04364647454506642
76,0.4990456692482296,0.24869565665721893,0.027779363475246625,0.35041871257063084,0.17604600158733505,0.042339659354480294,0.7106919606795182,0.23051947355270386,0.025578405406024005,0.4782906351862727,0.32876862504997767,0.0501573411999522
77,0.47487382864000843,0.2678260803222656,0.036158028199433874,0.3417388449702886,0.1761561289606758,0.05128351289064249,0.7122093779412476,0.23051947355270386,0.0365192333387362,0.43935667501913533,0.31045862971930893,0.047078545431833006
78,0.4868134339869731,0.25217390060424805,0.037871019898934356,0.35183707238862794,0.17352903961932922,0.044674043744448284,0.7130265171463425,0.23376622796058655,0.03587424845711605,0.41955045751623204,0.3632399016940916,0.051579940157967644
79,0.47657891518494877,0.24304348230361938,0.037628195522090575,0.32542453597478427,0.1616474542836382,0.04523421765790528,0.7103686465604885,0.23376622796058655,0.034859244183108616,0.4720580513412888,0.33189747261034475,0.05196291490181072
80,0.4769216755654897,0.260869562625885,0.04055730745525231,0.3697823628100151,0.18331026277032084,0.04602286072862168,0.7086900802882942,0.2759740352630615,0.03006767572180645,0.41665723517134384,0.38883613251351024,0.05289492735991607
81,0.48059277380666426,0.2504347860813141,0.03537723700340414,0.3503228990655196,0.15966776322023168,0.044217388729085746,0.7204028972097345,0.23051947355270386,0.027400529565843375,0.495369241044328,0.2697073678309853,0.05223901408749658
82,0.47774395769136263,0.24565216898918152,0.03269567349467091,0.3521944096213893,0.16354402358341702,0.04571571632435447,0.7090123815310968,0.23051947355270386,0.035951707512140274,0.47288932027043523,0.30138688474088104,0.0487831259095991
83,0.4690150563148165,0.2656521797180176,0.033714065299778925,0.3381910728882043,0.18181154197666965,0.04335693076430031,0.7082041173770621,0.23051947355270386,0.042356559050244255,0.41553006301055084,0.3042300667714428,0.043181021874015395
84,0.46482948824788595,0.2652173936367035,0.03449259736339588,0.36308841834853584,0.15908429820994974,0.047422366099770484,0.7109213727148803,0.23051947355270386,0.026773491622628393,0.4787342741682723,0.24865403308256254,0.03795946449846835
85,0.4925024702461952,0.2582608759403229,0.033950272966524135,0.35924151959767364,0.1630793099492434,0.03861184273996661,0.7131421729116827,0.27272728085517883,0.027224032157981717,0.3638597501290811,0.38826292008161545,0.05826203484792967
86,0.48841218910921613,0.26695650815963745,0.030915488082605632,0.34078979330273357,0.1736717122924753,0.042735123877209596,0.7040852551927438,0.27272728085517883,0.03215406981070299,0.4431261243046941,0.3024594999245695,0.05997660997751597
87,0.4803830484127553,0.26260870695114136,0.03578960521111869,0.3294073778421243,0.15553620634742826,0.04105716407400238,0.7091219908482319,0.23376622796058655,0.03573325739519016,0.4123268127441406,0.3362466302272436,0.05408826188461201
88,0.5004055287771193,0.25999999046325684,0.0356127527654677,0.35819108943583,0.16736631705117347,0.04233300726361105,0.7060987566773956,0.23051947355270386,0.031475847536647644,0.44364329930898305,0.3124585920894468,0.05734363359373969
89,0.4796621017221279,0.2495652139186859,0.03497913365959109,0.3665431351329758,0.16589665377484114,0.04050119198441303,0.7073023941468548,0.23051947355270386,0.028559626659026015,0.4593880756481274,0.3160334078444017,0.05087201740290668
90,0.48428838670962127,0.24695652723312378,0.03421115386971796,0.34986395099167106,0.1650166606660205,0.046519530750494864,0.713767180571685,0.22727273404598236,0.028233053817136866,0.4350235397751267,0.2806449711725518,0.04406543800959716
