epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))"
43,1.434804155263636,0.04318783059716225,0.20701565477583145,0.005830269389682346,0.006399144066704644,inf,0.7211143493652343,0.10295475323994954,1.5109563562605115,0.047089945524930954,0.21071756150987414,0.00539304945203993,0.005128394232855903,inf,0.6639457702636719,0.10003272162543403
44,1.4387473170955976,0.035052910447120667,0.2157286802927653,0.006426114506191677,0.00748652352227105,inf,0.7503263235092164,0.1072704209221734,1.5079006645414563,0.04285714402794838,0.24183417426215278,0.00488022698296441,0.009195158216688369,inf,0.7425008138020833,0.10828242831759982
45,1.449624369872941,0.02837301604449749,0.2120143519507514,0.006875443458557129,0.009232412444220649,inf,0.7119804408815172,0.09818090067969429,1.5335084014468723,0.02380952425301075,0.19591403537326388,0.010807376437717014,0.010102166069878472,inf,0.6163622538248698,0.08548723856608073
46,1.4563811813791594,0.01746031828224659,0.20526105297936334,0.007357472843594021,0.009231201807657878,inf,0.6689162042405871,0.09027960565355089,1.5212959077623156,0.002116402145475149,0.21217888726128473,0.007627571953667534,0.009570015801323785,inf,0.7268172793918186,0.09741787380642361
47,1.4422435437639554,0.011970899067819118,0.20618285602993436,0.006175525983174642,0.007778498861524794,inf,0.7180686367882623,0.09956812593672011,1.5133178697692022,0.02539682574570179,0.21257620917426215,0.004502699110243056,0.009527799818250868,inf,0.6973204718695747,0.09726948208279079
48,1.4455484319064351,0.017195766791701317,0.21392086611853706,0.007180420557657877,0.007832654317220052,inf,0.7122117201487224,0.09774802260928683,1.5138885776201885,0.02063492126762867,0.21620398627387152,0.008285819159613714,0.010644700792100694,inf,0.6720415327284072,0.09561458163791232
49,1.4460703872972065,0.014087301678955555,0.20535996754964192,0.0072058465745713975,0.008140873908996583,inf,0.7068418370352851,0.09915752675798205,1.5304688016573589,0.0005291005363687873,0.18322669135199654,0.005285432603624132,0.008821826510959202,inf,0.6239701165093317,0.08232413397894965
50,1.4484953693217701,0.010780422948300838,0.19383830494350857,0.005875476201375325,0.00687101682027181,inf,0.6538163873884413,0.09397706985473633,1.5194145838419597,0.039153438061475754,0.1978137969970703,0.006023449367947049,0.0068709055582682295,inf,0.6655851576063369,0.08809899224175347
51,1.445471349855264,0.028505291789770126,0.2046296623018053,0.006988490952385796,0.009055945608350966,inf,0.7061572896109687,0.09619534015655518,1.5170822633637322,0.035978835076093674,0.2069959004720052,0.004132970174153646,0.010683271620008681,inf,0.6995143466525607,0.10104543897840712
52,1.4495032138294643,0.027116402983665466,0.2139115466011895,0.006802386707729763,0.008997366163465711,inf,0.7082275761498346,0.09517418808407253,1.5172286854849921,0.035978835076093674,0.2291507297092014,0.0072714911566840275,0.012159559461805556,inf,0.782543690999349,0.10733015272352431
53,1.4512721419334411,0.030489418655633926,0.22040596538119847,0.007263289557562934,0.009690133730570476,inf,0.7165695720248753,0.09920082092285157,1.5246429827478196,0.012698412872850895,0.21234537760416666,0.005072233412000868,0.008906300862630208,inf,0.71134033203125,0.09275716145833333
54,1.453994853463438,0.012037036940455437,0.21479188866085477,0.007182436519198947,0.010615158081054687,inf,0.7035921971003215,0.09765905804104275,1.5269115977817111,0.02380952425301075,0.2055527581108941,0.009246571858723959,0.009638468424479166,inf,0.6851487053765191,0.09881604512532552
55,1.4552855097585253,0.026322752237319946,0.19904088179270427,0.007716806729634603,0.008739614486694336,inf,0.6691314379374186,0.09021845658620199,1.5294960114690992,0.034391533583402634,0.20953631930881075,0.00814103020562066,0.009245978461371528,inf,0.6457583957248264,0.09091317918565538
56,1.4515419478217761,0.035846561193466187,0.20067386362287734,0.008225830396016438,0.009049365255567763,inf,0.6855443133248224,0.09549264113108318,1.5195554322666591,0.04656084626913071,0.19660551283094618,0.008674536810980902,0.008571582370334202,inf,0.6788943396674262,0.09034822252061632
57,1.4476412236690521,0.023082010447978973,0.1994664854473538,0.007531309127807617,0.008278650707668728,inf,0.6738681607776218,0.0936686807208591,1.5170857588450113,0.0476190485060215,0.21920780605740017,0.006118477715386285,0.010731294420030383,inf,0.684008534749349,0.09698371887207032
58,1.4443998232483863,0.029298942536115646,0.2052219973670112,0.006115751796298557,0.008637987242804634,inf,0.6995821687910292,0.09868576526641845,1.5080956008699204,0.023280423134565353,0.21024063958062067,0.0063517252604166664,0.007601081000434028,inf,0.6872514512803819,0.11487625969780815
59,1.4423722580075264,0.010052910074591637,0.2097328821818034,0.006227956877814399,0.008648223347134061,inf,0.7195355229907565,0.10104107856750488,1.5095706317159865,0.040740739554166794,0.21708730061848958,0.009302605523003472,0.008779864841037327,inf,0.7156895531548394,0.10617078145345052
60,1.4409365663925806,0.020701058208942413,0.210238160027398,0.006080230077107747,0.007522641287909614,inf,0.7032386488384671,0.10125278102027045,1.5109190026919046,0.0,0.2026113722059462,0.0036231570773654514,0.008494737413194444,inf,0.6977657741970487,0.1046786838107639
61,1.449299771587054,0.008002645336091518,0.1954331742392646,0.00601390732659234,0.007192095120747884,inf,0.6702330748240153,0.0929125150044759,1.5191696590847439,0.0005291005363687873,0.18258209228515626,0.006033537122938368,0.00841581556532118,inf,0.633425776163737,0.09499482048882378
62,1.4397043920225567,0.036970898509025574,0.20599977440304226,0.005948593881395128,0.007589973343743219,inf,0.7014564858542548,0.1004317389594184,1.5140575289726257,0.01587301678955555,0.20509173075358073,0.005417251586914062,0.007275644938151042,inf,0.6533504909939236,0.0967543707953559
63,1.4426983281970025,0.02063492126762867,0.20608421431647406,0.006244246164957682,0.007343551847669813,inf,0.6887098815706041,0.09861498143937852,1.5100078397327,0.0476190485060215,0.21586011250813802,0.0061798095703125,0.008854336208767362,inf,0.7277107662624783,0.10105480617947049
64,1.437492794626289,0.030621692538261414,0.2053942945268419,0.005367782380845811,0.006822440359327529,inf,0.7130882528093127,0.10333769586351182,1.5110448638598124,0.02539682574570179,0.18955887688530815,0.005220582750108507,0.006717215643988715,inf,0.6535418616400824,0.09412540859646268
65,1.4391576849752001,0.013822751119732857,0.19194142553541396,0.005537719196743436,0.005963770548502604,inf,0.6969075600306193,0.10072782304551867,1.5112364225917392,0.0,0.18739085727267796,0.005340194702148438,0.005743662516276042,inf,0.641963873969184,0.09941876729329427
66,1.4383495112260183,0.029497355222702026,0.2062735186682807,0.005879121356540256,0.006177210807800293,inf,0.7108823829227023,0.1015556944741143,1.5117246588071187,0.0,0.20327385796440972,0.007207616170247396,0.007484478420681424,inf,0.6757888793945312,0.09767252604166667
67,1.4457305820451842,0.014351852238178253,0.19409847524431018,0.0057388491100735135,0.007569927639431423,inf,0.6734781397713555,0.0948595338397556,1.5261729372872246,0.0,0.20479316711425782,0.005984920925564236,0.007120174831814236,inf,0.704468748304579,0.09459546407063803
68,1.4477698360880216,0.010251322761178017,0.20499711566501194,0.0072021881739298505,0.007923139466179742,inf,0.7097427897983127,0.09755922423468696,1.5218932708104451,0.025925925001502037,0.21554764641655816,0.0061126285129123265,0.010918553670247395,inf,0.6610238817003038,0.0925675286187066
69,1.4527558712495698,0.04246031865477562,0.20743856165144178,0.006622179349263509,0.009183433320787217,inf,0.6817060470581054,0.09388211303287082,1.5234634425905016,0.04603174701333046,0.20614903767903645,0.006011157565646701,0.013350296020507812,inf,0.701117197672526,0.09427761501736111
70,1.446861630678177,0.034193120896816254,0.21030304696824814,0.0061288992563883465,0.008613215552435981,inf,0.7123166958491007,0.09724840852949354,1.511583842171563,0.04126984253525734,0.21169564988878037,0.0059659745958116316,0.008151499430338542,inf,0.6922232733832465,0.09927643669976129
71,1.4438026888502968,0.04060846567153931,0.1917274104224311,0.005613867441813151,0.007525883780585395,inf,0.6743159691492716,0.09708856476677788,1.516225696934594,0.0010582010727375746,0.20296397738986546,0.006150182088216146,0.008020189073350694,inf,0.6524451785617404,0.10356246100531684
72,1.448224584096008,0.013558201491832733,0.19060504966311984,0.005566660563151042,0.0083271238538954,inf,0.6773371193144057,0.09421946737501356,1.5168481204244826,0.034391533583402634,0.21475808885362413,0.006077406141493056,0.00973570081922743,inf,0.6812847137451172,0.09497964647081163
73,1.4429607684413592,0.037367723882198334,0.19187050925360785,0.0060026327768961584,0.006889986991882324,inf,0.6724807024002075,0.09916059176127116,1.5193365454673766,0.04444444552063942,0.18452873229980468,0.007188966539171007,0.00938474867078993,inf,0.6028258853488498,0.08800536261664496
74,1.4436860981914732,0.01984127052128315,0.19797695212894015,0.006152044402228461,0.008083642853630914,inf,0.6881100177764893,0.09937857521904839,1.5183837784661187,0.034391533583402634,0.19318466186523436,0.0051330990261501735,0.0063118404812282985,inf,0.6218484666612413,0.09465348985460069
75,1.4468944213456578,0.02658730186522007,0.19813189506530762,0.006440485848320855,0.008152259720696343,inf,0.6848609262042575,0.09918371041615805,1.5167577505111693,0.003703703638166189,0.19185680813259548,0.0038859473334418404,0.009632576836480035,inf,0.6590262518988715,0.0945841047498915
76,1.4446359770165549,0.022288359701633453,0.1933723317252265,0.007103329234653049,0.007884036170111762,inf,0.6650467236836751,0.0934713946448432,1.5320097128550212,0.0,0.18127013312445747,0.007763799031575521,0.009278064303927951,inf,0.6147279951307508,0.09031257629394532
77,1.4527100563049316,0.02738095261156559,0.1950535323884752,0.007423506842719184,0.007605597707960341,inf,0.6498839457829794,0.09089179039001465,1.5200348562664456,0.031216930598020554,0.2092574225531684,0.009706751505533854,0.007281706068250868,inf,0.652490743001302,0.09383833143446181
78,1.441462250881725,0.04444444552063942,0.20059357484181722,0.006156561109754774,0.0074238724178738065,inf,0.6966054254108005,0.09810047414567735,1.5134210758739048,0.03015873022377491,0.19426278008355036,0.005212020874023437,0.006295225355360243,inf,0.6643201616075304,0.09898711310492622
