epoch,train_loss,train_accuracy,"train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))",val_loss,val_accuracy,"val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))"
45,0.7083096761773858,0.39252644777297974,0.02192082934909397,0.03870001799530453,0.11631489892800649,0.7240869142942958,0.39629629254341125,0.04705406824747722,0.034355545043945314,0.16563205189175076
46,0.7086932295312484,0.39616402983665466,0.02783289584848616,0.06044523815313975,0.1309686243534088,0.7242802994118797,0.4010581970214844,0.02000428835550944,0.047007619010077585,0.11985373497009277
47,0.7072103703291052,0.3898809552192688,0.02888631307416492,0.05266492995950911,0.13464087711440192,0.7247168289290534,0.4047619104385376,0.06419065395991007,0.10146452850765653,0.24479278988308376
48,0.7055345624737027,0.3919312059879303,0.020660363303290474,0.048845325907071434,0.12869043681356643,0.723528867546055,0.4037036895751953,0.08140979607899984,0.10565617084503173,0.2060250441233317
49,0.7030868087481293,0.39451056718826294,0.028561050693194073,0.04989762273099688,0.1301393277115292,0.7215212542149756,0.4068782925605774,0.08269017537434896,0.06955420441097683,0.2046055793762207
50,0.7088801165525284,0.3917989432811737,0.030885363121827443,0.06233026468091541,0.14402615229288737,0.7246979163752661,0.40317460894584656,0.00021710925632052952,0.03630480236477322,0.11876294877794054
51,0.7030768501779272,0.3926587402820587,0.030126258068614537,0.055542370345857406,0.16077056527137756,0.7226126318176588,0.4010581970214844,0.07823486593034533,0.07975828382703994,0.23745071093241374
52,0.7048822036840849,0.39841270446777344,0.03356831967830658,0.04930761737955941,0.14142735103766124,0.7218503693739573,0.4047619104385376,0.014378298653496636,0.03022049797905816,0.18083003362019856
53,0.7022102023267911,0.3936507999897003,0.030315142042107054,0.05599256720807817,0.15237657361560397,0.7236916022168265,0.4058201014995575,0.0018821610344780817,0.031408468882242836,0.07886627515157064
54,0.7033835515586866,0.3955687880516052,0.03509538769721985,0.06660084625085196,0.1647857361369663,0.7201171345180936,0.4148148000240326,0.07339941660563151,0.09864384333292643,0.2133927451239692
55,0.7039354352746159,0.39616402983665466,0.03321921643283632,0.05792076653904385,0.15140373839272392,0.7232072005669276,0.4026454985141754,0.006267319785224067,0.021257215076022677,0.16299374368455674
56,0.7017365565420025,0.3940476179122925,0.03823815402057436,0.05697685165537728,0.14501409861776565,0.7203655311630832,0.4015873074531555,0.07389397621154785,0.13163765801323785,0.2491773870256212
57,0.7027045548583071,0.39424604177474976,0.03532110485765669,0.06399519575966729,0.1386970321337382,0.7201586744851536,0.41322749853134155,0.010669146643744574,0.06916953457726373,0.18404110272725424
58,0.7040932974829855,0.3947751224040985,0.04287137356069353,0.06088722480667962,0.18728940221998427,0.7244462734295263,0.3788359761238098,0.09945246643490262,0.1191428820292155,0.2514171600341797
59,0.7006680940484835,0.398677259683609,0.03290805336501863,0.05439020064142015,0.1599452171060774,0.718186647279395,0.4058201014995575,0.06449733707639906,0.10890262126922608,0.21775435341729057
60,0.699387309472594,0.3946428596973419,0.03412260777420468,0.06236614717377557,0.16087257332272,0.7197233378887177,0.41322749853134155,0.041476461622450084,0.03894377284579807,0.1445392608642578
61,0.698864373890683,0.40224868059158325,0.04133993668688668,0.0677069067955017,0.1885203805234697,0.7177270400855277,0.40634921193122864,0.08408157560560438,0.11621296935611301,0.24241337776184083
62,0.7027069107060218,0.39616402983665466,0.04056640366713206,0.062396304806073506,0.19943608740965527,0.7201633618937598,0.4116401970386505,0.034571700625949435,0.04797898398505317,0.1302563985188802
63,0.7022012015752909,0.40324074029922485,0.033858843478891586,0.06476492649979061,0.18579433427916633,0.7373167783021927,0.3978835940361023,0.1250284539328681,0.17565950552622478,0.3354590627882216
64,0.6972029497329559,0.4025793671607971,0.033959044019381206,0.06698802014191946,0.15875638259781732,0.7267695519245333,0.4010581970214844,0.11629489262898764,0.14899507363637288,0.33025409910413955
65,0.7015792286230458,0.3988095223903656,0.046290140516228144,0.05915209154287974,0.17509995698928832,0.7171618558466435,0.4037036895751953,0.08573939005533854,0.11456044779883491,0.23971069124009875
66,0.6985510107802434,0.39126983284950256,0.03446952319807477,0.05420456826686859,0.17619012064403958,0.7172331347233719,0.41534391045570374,0.025525792439778646,0.06693261729346381,0.19826246367560493
67,0.697039040690288,0.40033069252967834,0.037539259261555144,0.06299766567018297,0.18763479159937965,0.7162986478871769,0.40317460894584656,0.047151266203986276,0.06707494523790147,0.286788272857666
68,0.6996442586442249,0.3929894268512726,0.03948872304624981,0.059262267251809435,0.19529269403881497,0.7181600931617949,0.41534391045570374,0.055065033170912,0.025050666597154405,0.16327114635043674
69,0.6959528117802822,0.40218254923820496,0.04679527050919003,0.0733437760008706,0.18248770899242825,0.7181011277768347,0.40317460894584656,0.12592327859666613,0.12256243493821886,0.2914521588219537
70,0.6986637848739823,0.40033069252967834,0.04708527243799633,0.06494480272134145,0.21023388173845078,0.71695927489135,0.4058201014995575,0.04117707676357693,0.08324732780456542,0.25526140530904134
71,0.6967615050470664,0.4008598029613495,0.04123197611835268,0.06260906640026305,0.21559092866049873,0.7164361273662911,0.40052908658981323,0.1125556468963623,0.1132461839252048,0.2915445963541667
72,0.6973426666679896,0.39728835225105286,0.05011933777067396,0.060032954812049864,0.19877017471525404,0.7155757021572855,0.3941798806190491,0.09472619030210706,0.10606003867255318,0.2551817735036214
73,0.6983918141625408,0.3921296298503876,0.038686186737484404,0.05756590267022451,0.18621731532944574,0.7205841206841999,0.4195767343044281,0.010922845204671223,0.03875952296786838,0.14775738186306422
74,0.6922974900652965,0.4015211760997772,0.041812755829758116,0.05593706137604183,0.20834907293319702,0.716563903623157,0.4015873074531555,0.057887514432271324,0.06650504536098904,0.2430238087972005
75,0.6973262232935263,0.39616402983665466,0.04674127929740482,0.07392133673032125,0.21568068663279216,0.7157977606687281,0.4047619104385376,0.07518820762634278,0.07912376721700033,0.19823252889845105
76,0.6970389598204444,0.39821428060531616,0.04301734666029612,0.06986767119831509,0.1982530176639557,0.7153831846184201,0.40529099106788635,0.05181136396196154,0.059331403838263616,0.22089622285630967
77,0.6950501777128213,0.4055555462837219,0.04713384194506539,0.06584907753600014,0.20334405303001404,0.716400033980608,0.3920634984970093,0.11624173588222927,0.1318297306696574,0.3244949181874593
78,0.6969597320331054,0.4046296179294586,0.04612182295984692,0.0632966094546848,0.20953470468521118,0.7154934450984001,0.40529099106788635,0.05017913977305095,0.048086640569898816,0.20241481463114422
79,0.69194244784303,0.40740740299224854,0.04829967982239193,0.06565804911984338,0.22638607323169707,0.7129180932210551,0.4079365134239197,0.10471266640557184,0.09406051370832655,0.23558541933695476
80,0.6966595582974454,0.4015211760997772,0.05109492590030034,0.07229189657502705,0.22998958362473382,0.7146187903152572,0.4100528955459595,0.07372307115130955,0.0770022021399604,0.24942825105455185
81,0.6901509346078254,0.40601852536201477,0.05989769283268187,0.07687880926662022,0.21382476687431334,0.713614589555396,0.40740740299224854,0.049319187800089516,0.06762610541449653,0.26518964767456055
