epoch,train_loss,train_accuracy,"train_NotSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","train_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_RespondedExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))",val_loss,val_accuracy,"val_NotSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","val_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_RespondedExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))"
44,0.7165192334602276,0.39034390449523926,0.0027725262774361504,0.008674792117542691,0.0033499485916561552,0.0,0.7383530361784829,0.4079365134239197,0.004521772596571181,0.0,0.043090671963161895,0.0
45,0.7201804950005478,0.38339945673942566,0.004047849443223742,0.0056811173756917315,0.0052182594935099285,0.0,0.739511255092091,0.3989417850971222,0.005787383185492621,0.0,0.003614468044704861,0.0
46,0.7272140212357044,0.3767857253551483,0.0032693260245853,0.0005457156234317356,0.00694444477558136,0.0,0.7384951521952947,0.4000000059604645,6.696912977430556e-05,0.012186495463053386,1.8013848198784722e-06,0.0
47,0.7342320592039161,0.3739418089389801,0.0025869011878967285,0.007402965095308092,0.010422310564253065,0.0,0.7417073604133394,0.4021163880825043,0.003063880072699653,0.0,0.0015076955159505209,0.0
48,0.7212485485192802,0.3851190507411957,0.0020353251033359103,0.00015319387118021646,0.004226841529210408,0.0,0.744229801164733,0.4068782925605774,0.00027217864990234373,0.0,2.9447343614366318e-05,0.0
49,0.7145619422197342,0.3858465552330017,0.00445300473107232,0.008751748667822943,0.001515721943643358,0.0,0.7372723327742683,0.40740740299224854,0.03552506234910753,0.0,0.005577002631293403,0.0
50,0.7385931878040234,0.38062170147895813,0.007529513041178385,0.0014683703581492107,0.00871279239654541,0.0,0.7446998248497645,0.3931216895580292,0.0002997398376464844,0.00016076829698350695,5.07248772515191e-05,0.0
51,0.7368112028472953,0.3767857253551483,0.004327230983310276,0.0024315251244439017,0.007889731725056966,0.0,0.8316894388861127,0.3603174686431885,0.00021949344211154515,0.001900694105360243,0.0009360631306966146,0.0
52,0.7327910044127041,0.38121694326400757,0.0065522273381551106,0.002008155981699626,0.0011858195066452026,0.0,0.7458610978391436,0.3968254029750824,0.0002548005845811632,4.066361321343316e-05,0.00019957224527994793,0.0
53,0.7230213201708264,0.3886243402957916,0.0018600040011935764,0.002339251505004035,0.017201299799813163,0.0,0.7404086007012262,0.39947089552879333,0.0010108100043402777,0.0,0.0,0.0
54,0.7145278356969357,0.39140212535858154,0.0027254038386874727,0.0017711655961142646,0.006525676118002997,0.0,0.7373806522952185,0.4216931164264679,0.0027450667487250433,0.0001243697272406684,0.013124736150105794,0.0
55,0.7262211940354771,0.3849206268787384,0.005804508924484253,0.0016782042053010728,0.003767277134789361,0.0,0.7380141797992918,0.38835978507995605,0.0030814700656467014,3.604888916015625e-05,0.05601304372151693,0.0
56,0.7153494475202428,0.38941797614097595,0.002794737617174784,0.0024476991759406195,0.005462967687182956,0.0,0.7367100334829755,0.4100528955459595,0.0005261951022677952,0.0,0.0003959761725531684,0.0
57,0.7346634410735634,0.3720238208770752,0.002934334013197157,0.005552995204925537,0.0028917905357148913,0.0,0.737811322675811,0.39735448360443115,0.00073089599609375,0.013964197370741102,0.00017571979098849827,0.0
58,0.7167472006132205,0.3841931223869324,0.0036390834384494356,0.00277112258805169,0.005535090300771925,0.0,0.7374529153108597,0.4015873074531555,0.00030994415283203125,2.808041042751736e-05,0.000154060787624783,0.0
59,0.7195643111649487,0.38915345072746277,0.001650855110751258,0.0033563935094409517,0.00620157089498308,0.0,0.7916456995738878,0.3539682626724243,0.0,0.010888968573676215,0.004858493804931641,0.0
60,0.7206373583111498,0.3810185194015503,0.00485380921098921,0.007911593715349833,0.0058114740583631724,0.0,0.7385274204942915,0.38835978507995605,0.00018795861138237849,0.0,0.0,0.0
61,0.7218942263060146,0.38333332538604736,0.006005467308892144,0.0024655454688602024,0.0058732741408877905,0.0,0.7363252573543124,0.39629629254341125,5.7220458984375e-06,0.003655952877468533,0.013435480329725477,0.0
62,0.7158408746951156,0.38941797614097595,0.0028713858789867824,0.002235046360227797,0.007458145088619656,0.0,0.7728708267211915,0.37460318207740784,0.0006008360120985243,0.0009777810838487414,2.5622049967447917e-05,0.0
63,0.7285782584713565,0.38425925374031067,0.004901697569423252,0.0030364894204669528,0.002736270758840773,0.0,0.7466781867874993,0.3920634984970093,1.2228224012586806e-05,0.00011420779758029514,0.0,0.0
64,0.7173308206101259,0.3870370388031006,0.0019363449679480659,0.007157926758130391,0.004505230983098348,0.0,0.7368823818034596,0.4089947044849396,0.0004095501369900174,0.0010172208150227866,0.0,0.0
65,0.7289276396855712,0.37738096714019775,0.00908922983540429,0.0021568265226152208,0.00413824286725786,0.0,0.7382208238045375,0.3978835940361023,0.00028086768256293404,4.4186909993489586e-05,0.0333125909169515,0.0
66,0.7080719732368986,0.3947751224040985,0.001383325457572937,0.0030955913994047375,0.004820516374376085,0.0,0.7359870443741481,0.4037036895751953,0.0005452050103081597,0.00016904936896430122,0.012049939897325303,0.0
67,0.7145148306257195,0.3928571343421936,0.004872583018408881,0.00874825484222836,0.004354425933625963,0.0,0.7340924527910021,0.391005277633667,0.003718863593207465,0.003101158142089844,0.0014470630221896702,0.0
68,0.7234288373755084,0.3810185194015503,0.005624294281005859,0.0009818265835444132,0.005945342116885715,0.0,0.7334883163372675,0.4015873074531555,0.00039969550238715275,5.1090452406141494e-05,0.04107601907518175,0.0
69,0.7143287422756354,0.39140212535858154,0.002912335925632053,0.0024371729956732856,0.0074963241815567015,0.0,0.7307738072342342,0.4095238149166107,0.0008649402194552951,0.025588093863593207,0.0002467367384168837,0.0
70,0.7333977795516451,0.3821428716182709,0.004780166678958469,0.010578021738264295,0.0007888048887252808,0.0,0.8138842698600557,0.3523809611797333,0.0,0.0011252191331651475,2.7974446614583332e-05,0.0
71,0.7169576984105839,0.3849867582321167,0.005059495899412367,0.0026477535565694174,0.0013111230399873522,0.0,0.7353994240363438,0.3878306746482849,0.0013192176818847656,0.002664481268988715,6.273057725694444e-06,0.0
72,0.7315408676034875,0.37837302684783936,0.005010457999176449,0.0007813940445582072,0.009874171349737379,0.0,0.7607530019349522,0.37830686569213867,0.0,0.0,0.0017883247799343532,0.0
73,0.7119174055134256,0.3941137492656708,0.005551443497339884,0.0017168432474136352,0.004650992486211989,0.0,0.741053420636389,0.3968254029750824,0.0006498389773898655,0.0,0.025191349453396267,0.0
74,0.73095170147717,0.3787037134170532,0.010708058542675442,0.006432912747065226,0.005387526088290745,0.0,0.747977790236473,0.39259257912635803,1.6980701022677953e-05,0.00028088887532552086,0.0,0.0
75,0.7139174487027857,0.3939814865589142,0.003310815493265788,0.003007022539774577,0.009909627503818935,0.0,0.7365810804896884,0.38624337315559387,0.0008926603529188368,7.910198635525173e-05,5.1816304524739586e-05,0.0
76,0.71433690753248,0.3871693015098572,0.0019478387302822536,0.001511552929878235,0.0070896777841779925,0.0,0.7341226395633486,0.4126984179019928,0.0005611843532986111,0.0026286019219292534,0.008528963724772135,0.0
77,0.7150471111345622,0.39054232835769653,0.006758862071567112,0.0007967611153920491,0.0019038057989544338,0.0,0.8346358236339357,0.3582010567188263,0.0,1.377529568142361e-07,0.003812270694308811,0.0
78,0.7137899650260806,0.38763228058815,0.004658314916822646,0.006469816631740994,0.0029220521450042725,0.0,0.7457236549920506,0.3968254029750824,7.781982421875e-05,0.007626130845811632,0.0002632564968532986,0.0
79,0.7290811693295837,0.3821428716182709,0.011669461263550653,0.0032847560114330717,0.0032333652178446453,0.0,0.7367156699299813,0.38465607166290283,0.0009189817640516493,0.017044258117675782,0.023862902323404947,0.0
80,0.7230224439874291,0.39239418506622314,0.0013598812950981988,0.005465657512346903,0.0034892347123887803,0.0,0.7380551083220376,0.39947089552879333,3.325144449869792e-05,1.3499789767795138e-05,0.022775162590874566,0.0
81,0.7229564054558675,0.38247355818748474,0.0051213953230116105,0.0009370009104410807,0.005207095874680413,0.0,0.7390880475441615,0.3968254029750824,0.015048397911919488,0.004827388127644857,1.1867947048611111e-06,0.0
82,0.7113855231553317,0.3930555582046509,0.00333278841442532,0.007327300641271803,0.00716477632522583,0.0,0.7414042315549321,0.4015873074531555,5.7220458984375e-07,0.0,0.0,0.0
83,0.7110911917562286,0.38842591643333435,0.0027582042747073703,0.004824842347039116,0.0024376985099580552,0.0,0.7314142258630858,0.4116401970386505,0.0005856513977050781,2.4710761176215278e-05,0.00017030504014756945,0.0
84,0.7181349159528811,0.38141533732414246,0.004279951585663689,0.008142012688848708,0.00661464167965783,0.0,0.7348027017381457,0.39259257912635803,0.0033485200670030383,0.010844511455959743,0.0171173095703125,0.0
